epoch,train_loss,train_acc,val_loss,val_acc
1,1.6685048460114933,0.3399822695035461,1.5207341247134738,0.5159313725490197
2,1.399920788217098,0.6196808510638298,1.2987414134873285,0.6939338235294117
3,1.2055655083757766,0.7599734042553191,1.12547082040045,0.7881944444444444
4,1.0568085473479953,0.8178191489361702,0.9933729006184472,0.8420138888888888
5,0.9387793976364406,0.8541666666666666,0.8861819307009379,0.8715277777777778
6,0.8439205897615311,0.8787677304964538,0.7976899014578925,0.8940972222222222
7,0.7642844332025406,0.8978280141843972,0.7285820725891325,0.9079861111111112
8,0.6976764984164677,0.9115691489361702,0.6609493543704351,0.9375
9,0.6410334816215731,0.9248670212765957,0.6068846649593778,0.9461805555555556
10,0.5905451294800914,0.9346187943262412,0.5593367094794909,0.9461805555555556
